date,Kyoto travel,Tokyo travel,isPartial,period
2004-12-26,0,0,False,2005-2009
2005-01-02,0,0,False,2005-2009
2005-01-09,0,0,False,2005-2009
2005-01-16,0,0,False,2005-2009
2005-01-23,0,0,False,2005-2009
2005-01-30,0,0,False,2005-2009
2005-02-06,0,100,False,2005-2009
2005-02-13,0,0,False,2005-2009
2005-02-20,0,0,False,2005-2009
2005-02-27,0,0,False,2005-2009
2005-03-06,0,0,False,2005-2009
2005-03-13,0,97,False,2005-2009
2005-03-20,0,0,False,2005-2009
2005-03-27,0,0,False,2005-2009
2005-04-03,0,0,False,2005-2009
2005-04-10,0,0,False,2005-2009
2005-04-17,0,77,False,2005-2009
2005-04-24,0,0,False,2005-2009
2005-05-01,0,82,False,2005-2009
2005-05-08,0,0,False,2005-2009
2005-05-15,0,69,False,2005-2009
2005-05-22,0,0,False,2005-2009
2005-05-29,0,87,False,2005-2009
2005-06-05,0,82,False,2005-2009
2005-06-12,0,86,False,2005-2009
2005-06-19,0,66,False,2005-2009
2005-06-26,0,0,False,2005-2009
2005-07-03,0,68,False,2005-2009
2005-07-10,0,72,False,2005-2009
2005-07-17,0,0,False,2005-2009
2005-07-24,0,0,False,2005-2009
2005-07-31,0,61,False,2005-2009
2005-08-07,0,0,False,2005-2009
2005-08-14,0,0,False,2005-2009
2005-08-21,0,0,False,2005-2009
2005-08-28,0,85,False,2005-2009
2005-09-04,0,63,False,2005-2009
2005-09-11,0,80,False,2005-2009
2005-09-18,0,0,False,2005-2009
2005-09-25,0,64,False,2005-2009
2005-10-02,0,73,False,2005-2009
2005-10-09,0,0,False,2005-2009
2005-10-16,0,0,False,2005-2009
2005-10-23,0,57,False,2005-2009
2005-10-30,0,0,False,2005-2009
2005-11-06,0,70,False,2005-2009
2005-11-13,0,0,False,2005-2009
2005-11-20,0,0,False,2005-2009
2005-11-27,0,0,False,2005-2009
2005-12-04,0,73,False,2005-2009
2005-12-11,0,0,False,2005-2009
2005-12-18,0,0,False,2005-2009
2005-12-25,0,81,False,2005-2009
2006-01-01,0,0,False,2005-2009
2006-01-08,0,72,False,2005-2009
2006-01-15,0,0,False,2005-2009
2006-01-22,0,0,False,2005-2009
2006-01-29,0,0,False,2005-2009
2006-02-05,0,56,False,2005-2009
2006-02-12,0,0,False,2005-2009
2006-02-19,0,61,False,2005-2009
2006-02-26,0,0,False,2005-2009
2006-03-05,0,56,False,2005-2009
2006-03-12,0,0,False,2005-2009
2006-03-19,0,0,False,2005-2009
2006-03-26,0,0,False,2005-2009
2006-04-02,0,0,False,2005-2009
2006-04-09,0,0,False,2005-2009
2006-04-16,0,0,False,2005-2009
2006-04-23,0,0,False,2005-2009
2006-04-30,0,72,False,2005-2009
2006-05-07,0,0,False,2005-2009
2006-05-14,0,60,False,2005-2009
2006-05-21,0,0,False,2005-2009
2006-05-28,0,0,False,2005-2009
2006-06-04,0,0,False,2005-2009
2006-06-11,0,47,False,2005-2009
2006-06-18,51,51,False,2005-2009
2006-06-25,0,54,False,2005-2009
2006-07-02,0,55,False,2005-2009
2006-07-09,0,54,False,2005-2009
2006-07-16,0,59,False,2005-2009
2006-07-23,0,0,False,2005-2009
2006-07-30,53,76,False,2005-2009
2006-08-06,0,0,False,2005-2009
2006-08-13,0,92,False,2005-2009
2006-08-20,0,0,False,2005-2009
2006-08-27,0,53,False,2005-2009
2006-09-03,0,49,False,2005-2009
2006-09-10,0,73,False,2005-2009
2006-09-17,0,71,False,2005-2009
2006-09-24,0,0,False,2005-2009
2006-10-01,0,48,False,2005-2009
2006-10-08,0,55,False,2005-2009
2006-10-15,0,53,False,2005-2009
2006-10-22,0,0,False,2005-2009
2006-10-29,0,54,False,2005-2009
2006-11-05,0,0,False,2005-2009
2006-11-12,0,45,False,2005-2009
2006-11-19,0,72,False,2005-2009
2006-11-26,0,45,False,2005-2009
2006-12-03,0,54,False,2005-2009
2006-12-10,0,0,False,2005-2009
2006-12-17,0,0,False,2005-2009
2006-12-24,0,59,False,2005-2009
2006-12-31,0,0,False,2005-2009
2007-01-07,0,42,False,2005-2009
2007-01-14,0,0,False,2005-2009
2007-01-21,0,0,False,2005-2009
2007-01-28,0,0,False,2005-2009
2007-02-04,0,0,False,2005-2009
2007-02-11,0,46,False,2005-2009
2007-02-18,0,55,False,2005-2009
2007-02-25,0,0,False,2005-2009
2007-03-04,0,50,False,2005-2009
2007-03-11,37,45,False,2005-2009
2007-03-18,0,0,False,2005-2009
2007-03-25,0,54,False,2005-2009
2007-04-01,0,45,False,2005-2009
2007-04-08,0,0,False,2005-2009
2007-04-15,0,42,False,2005-2009
2007-04-22,0,0,False,2005-2009
2007-04-29,0,47,False,2005-2009
2007-05-06,0,62,False,2005-2009
2007-05-13,0,43,False,2005-2009
2007-05-20,0,58,False,2005-2009
2007-05-27,0,0,False,2005-2009
2007-06-03,0,42,False,2005-2009
2007-06-10,0,54,False,2005-2009
2007-06-17,0,37,False,2005-2009
2007-06-24,0,0,False,2005-2009
2007-07-01,0,48,False,2005-2009
2007-07-08,0,61,False,2005-2009
2007-07-15,0,33,False,2005-2009
2007-07-22,30,45,False,2005-2009
2007-07-29,0,0,False,2005-2009
2007-08-05,0,39,False,2005-2009
2007-08-12,0,34,False,2005-2009
2007-08-19,0,36,False,2005-2009
2007-08-26,0,0,False,2005-2009
2007-09-02,0,31,False,2005-2009
2007-09-09,0,32,False,2005-2009
2007-09-16,0,54,False,2005-2009
2007-09-23,0,0,False,2005-2009
2007-09-30,0,53,False,2005-2009
2007-10-07,0,37,False,2005-2009
2007-10-14,46,73,False,2005-2009
2007-10-21,0,37,False,2005-2009
2007-10-28,0,30,False,2005-2009
2007-11-04,0,0,False,2005-2009
2007-11-11,0,32,False,2005-2009
2007-11-18,0,0,False,2005-2009
2007-11-25,0,37,False,2005-2009
2007-12-02,0,33,False,2005-2009
2007-12-09,0,0,False,2005-2009
2007-12-16,0,0,False,2005-2009
2007-12-23,0,41,False,2005-2009
2007-12-30,0,41,False,2005-2009
2008-01-06,0,60,False,2005-2009
2008-01-13,0,37,False,2005-2009
2008-01-20,0,37,False,2005-2009
2008-01-27,0,0,False,2005-2009
2008-02-03,0,34,False,2005-2009
2008-02-10,0,0,False,2005-2009
2008-02-17,0,54,False,2005-2009
2008-02-24,0,0,False,2005-2009
2008-03-02,0,51,False,2005-2009
2008-03-09,0,48,False,2005-2009
2008-03-16,0,57,False,2005-2009
2008-03-23,0,33,False,2005-2009
2008-03-30,0,37,False,2005-2009
2008-04-06,0,47,False,2005-2009
2008-04-13,0,56,False,2005-2009
2008-04-20,0,46,False,2005-2009
2008-04-27,0,42,False,2005-2009
2008-05-04,0,36,False,2005-2009
2008-05-11,0,42,False,2005-2009
2008-05-18,0,25,False,2005-2009
2008-05-25,0,44,False,2005-2009
2008-06-01,0,29,False,2005-2009
2008-06-08,0,41,False,2005-2009
2008-06-15,0,34,False,2005-2009
2008-06-22,0,42,False,2005-2009
2008-06-29,0,53,False,2005-2009
2008-07-06,0,36,False,2005-2009
2008-07-13,0,47,False,2005-2009
2008-07-20,0,36,False,2005-2009
2008-07-27,0,47,False,2005-2009
2008-08-03,0,41,False,2005-2009
2008-08-10,0,0,False,2005-2009
2008-08-17,0,35,False,2005-2009
2008-08-24,0,25,False,2005-2009
2008-08-31,0,47,False,2005-2009
2008-09-07,0,0,False,2005-2009
2008-09-14,0,32,False,2005-2009
2008-09-21,0,28,False,2005-2009
2008-09-28,0,0,False,2005-2009
2008-10-05,0,39,False,2005-2009
2008-10-12,30,0,False,2005-2009
2008-10-19,0,28,False,2005-2009
2008-10-26,0,33,False,2005-2009
2008-11-02,0,52,False,2005-2009
2008-11-09,0,41,False,2005-2009
2008-11-16,0,40,False,2005-2009
2008-11-23,0,43,False,2005-2009
2008-11-30,0,33,False,2005-2009
2008-12-07,0,24,False,2005-2009
2008-12-14,0,26,False,2005-2009
2008-12-21,0,35,False,2005-2009
2008-12-28,0,0,False,2005-2009
2009-01-04,0,31,False,2005-2009
2009-01-11,0,29,False,2005-2009
2009-01-18,0,0,False,2005-2009
2009-01-25,0,0,False,2005-2009
2009-02-01,0,0,False,2005-2009
2009-02-08,0,32,False,2005-2009
2009-02-15,0,45,False,2005-2009
2009-02-22,0,37,False,2005-2009
2009-03-01,0,0,False,2005-2009
2009-03-08,0,0,False,2005-2009
2009-03-15,0,32,False,2005-2009
2009-03-22,0,40,False,2005-2009
2009-03-29,0,56,False,2005-2009
2009-04-05,0,47,False,2005-2009
2009-04-12,0,28,False,2005-2009
2009-04-19,0,26,False,2005-2009
2009-04-26,0,46,False,2005-2009
2009-05-03,0,27,False,2005-2009
2009-05-10,0,26,False,2005-2009
2009-05-17,0,36,False,2005-2009
2009-05-24,0,35,False,2005-2009
2009-05-31,0,31,False,2005-2009
2009-06-07,0,45,False,2005-2009
2009-06-14,0,0,False,2005-2009
2009-06-21,0,25,False,2005-2009
2009-06-28,0,26,False,2005-2009
2009-07-05,0,29,False,2005-2009
2009-07-12,0,30,False,2005-2009
2009-07-19,0,62,False,2005-2009
2009-07-26,0,48,False,2005-2009
2009-08-02,0,35,False,2005-2009
2009-08-09,0,24,False,2005-2009
2009-08-16,0,0,False,2005-2009
2009-08-23,0,28,False,2005-2009
2009-08-30,0,21,False,2005-2009
2009-09-06,0,24,False,2005-2009
2009-09-13,0,32,False,2005-2009
2009-09-20,0,27,False,2005-2009
2009-09-27,0,0,False,2005-2009
2009-10-04,0,23,False,2005-2009
2009-10-11,0,29,False,2005-2009
2009-10-18,0,23,False,2005-2009
2009-10-25,0,31,False,2005-2009
2009-11-01,0,0,False,2005-2009
2009-11-08,0,31,False,2005-2009
2009-11-15,0,32,False,2005-2009
2009-11-22,0,25,False,2005-2009
2009-11-29,0,29,False,2005-2009
2009-12-06,0,34,False,2005-2009
2009-12-13,0,27,False,2005-2009
2009-12-20,0,0,False,2005-2009
2009-12-27,0,0,False,2005-2009
2009-12-27,0,0,False,2010-2014
2010-01-03,0,75,False,2010-2014
2010-01-10,0,0,False,2010-2014
2010-01-17,0,92,False,2010-2014
2010-01-24,0,0,False,2010-2014
2010-01-31,0,44,False,2010-2014
2010-02-07,0,52,False,2010-2014
2010-02-14,0,49,False,2010-2014
2010-02-21,0,76,False,2010-2014
2010-02-28,0,60,False,2010-2014
2010-03-07,0,53,False,2010-2014
2010-03-14,0,60,False,2010-2014
2010-03-21,0,67,False,2010-2014
2010-03-28,0,91,False,2010-2014
2010-04-04,0,0,False,2010-2014
2010-04-11,0,42,False,2010-2014
2010-04-18,0,0,False,2010-2014
2010-04-25,46,80,False,2010-2014
2010-05-02,0,80,False,2010-2014
2010-05-09,0,0,False,2010-2014
2010-05-16,0,76,False,2010-2014
2010-05-23,0,56,False,2010-2014
2010-05-30,0,38,False,2010-2014
2010-06-06,0,0,False,2010-2014
2010-06-13,0,0,False,2010-2014
2010-06-20,0,0,False,2010-2014
2010-06-27,0,0,False,2010-2014
2010-07-04,0,37,False,2010-2014
2010-07-11,0,40,False,2010-2014
2010-07-18,0,0,False,2010-2014
2010-07-25,0,0,False,2010-2014
2010-08-01,0,51,False,2010-2014
2010-08-08,0,49,False,2010-2014
2010-08-15,38,47,False,2010-2014
2010-08-22,0,58,False,2010-2014
2010-08-29,0,49,False,2010-2014
2010-09-05,0,56,False,2010-2014
2010-09-12,0,0,False,2010-2014
2010-09-19,0,0,False,2010-2014
2010-09-26,0,53,False,2010-2014
2010-10-03,0,0,False,2010-2014
2010-10-10,0,47,False,2010-2014
2010-10-17,0,49,False,2010-2014
2010-10-24,0,0,False,2010-2014
2010-10-31,0,48,False,2010-2014
2010-11-07,0,0,False,2010-2014
2010-11-14,0,48,False,2010-2014
2010-11-21,0,39,False,2010-2014
2010-11-28,0,59,False,2010-2014
2010-12-05,0,41,False,2010-2014
2010-12-12,0,50,False,2010-2014
2010-12-19,0,44,False,2010-2014
2010-12-26,0,50,False,2010-2014
2011-01-02,0,40,False,2010-2014
2011-01-09,0,51,False,2010-2014
2011-01-16,0,36,False,2010-2014
2011-01-23,0,52,False,2010-2014
2011-01-30,0,59,False,2010-2014
2011-02-06,0,64,False,2010-2014
2011-02-13,0,53,False,2010-2014
2011-02-20,0,44,False,2010-2014
2011-02-27,0,45,False,2010-2014
2011-03-06,0,40,False,2010-2014
2011-03-13,0,100,False,2010-2014
2011-03-20,0,0,False,2010-2014
2011-03-27,0,0,False,2010-2014
2011-04-03,32,26,False,2010-2014
2011-04-10,0,32,False,2010-2014
2011-04-17,0,39,False,2010-2014
2011-04-24,0,43,False,2010-2014
2011-05-01,0,27,False,2010-2014
2011-05-08,0,25,False,2010-2014
2011-05-15,0,30,False,2010-2014
2011-05-22,0,27,False,2010-2014
2011-05-29,0,48,False,2010-2014
2011-06-05,0,42,False,2010-2014
2011-06-12,0,48,False,2010-2014
2011-06-19,0,0,False,2010-2014
2011-06-26,0,43,False,2010-2014
2011-07-03,0,35,False,2010-2014
2011-07-10,0,42,False,2010-2014
2011-07-17,0,43,False,2010-2014
2011-07-24,0,29,False,2010-2014
2011-07-31,0,31,False,2010-2014
2011-08-07,22,29,False,2010-2014
2011-08-14,0,28,False,2010-2014
2011-08-21,23,38,False,2010-2014
2011-08-28,0,43,False,2010-2014
2011-09-04,0,24,False,2010-2014
2011-09-11,0,35,False,2010-2014
2011-09-18,0,0,False,2010-2014
2011-09-25,0,52,False,2010-2014
2011-10-02,0,32,False,2010-2014
2011-10-09,21,38,False,2010-2014
2011-10-16,0,29,False,2010-2014
2011-10-23,22,39,False,2010-2014
2011-10-30,21,31,False,2010-2014
2011-11-06,0,34,False,2010-2014
2011-11-13,0,34,False,2010-2014
2011-11-20,0,35,False,2010-2014
2011-11-27,0,0,False,2010-2014
2011-12-04,0,23,False,2010-2014
2011-12-11,0,41,False,2010-2014
2011-12-18,0,0,False,2010-2014
2011-12-25,0,42,False,2010-2014
2012-01-01,0,32,False,2010-2014
2012-01-08,0,26,False,2010-2014
2012-01-15,0,19,False,2010-2014
2012-01-22,0,47,False,2010-2014
2012-01-29,0,24,False,2010-2014
2012-02-05,0,31,False,2010-2014
2012-02-12,0,37,False,2010-2014
2012-02-19,0,35,False,2010-2014
2012-02-26,0,37,False,2010-2014
2012-03-04,0,32,False,2010-2014
2012-03-11,0,33,False,2010-2014
2012-03-18,0,46,False,2010-2014
2012-03-25,0,37,False,2010-2014
2012-04-01,0,39,False,2010-2014
2012-04-08,0,35,False,2010-2014
2012-04-15,0,51,False,2010-2014
2012-04-22,0,44,False,2010-2014
2012-04-29,17,17,False,2010-2014
2012-05-06,0,23,False,2010-2014
2012-05-13,0,30,False,2010-2014
2012-05-20,0,28,False,2010-2014
2012-05-27,0,27,False,2010-2014
2012-06-03,0,34,False,2010-2014
2012-06-10,0,37,False,2010-2014
2012-06-17,0,30,False,2010-2014
2012-06-24,0,32,False,2010-2014
2012-07-01,0,26,False,2010-2014
2012-07-08,0,29,False,2010-2014
2012-07-15,0,19,False,2010-2014
2012-07-22,0,38,False,2010-2014
2012-07-29,19,24,False,2010-2014
2012-08-05,0,24,False,2010-2014
2012-08-12,0,22,False,2010-2014
2012-08-19,0,25,False,2010-2014
2012-08-26,0,32,False,2010-2014
2012-09-02,0,27,False,2010-2014
2012-09-09,0,37,False,2010-2014
2012-09-16,0,30,False,2010-2014
2012-09-23,0,27,False,2010-2014
2012-09-30,0,28,False,2010-2014
2012-10-07,0,16,False,2010-2014
2012-10-14,15,26,False,2010-2014
2012-10-21,0,31,False,2010-2014
2012-10-28,0,37,False,2010-2014
2012-11-04,0,23,False,2010-2014
2012-11-11,0,26,False,2010-2014
2012-11-18,19,27,False,2010-2014
2012-11-25,0,19,False,2010-2014
2012-12-02,0,33,False,2010-2014
2012-12-09,0,22,False,2010-2014
2012-12-16,0,24,False,2010-2014
2012-12-23,0,26,False,2010-2014
2012-12-30,0,17,False,2010-2014
2013-01-06,0,27,False,2010-2014
2013-01-13,0,21,False,2010-2014
2013-01-20,0,21,False,2010-2014
2013-01-27,0,29,False,2010-2014
2013-02-03,0,31,False,2010-2014
2013-02-10,0,22,False,2010-2014
2013-02-17,0,14,False,2010-2014
2013-02-24,0,28,False,2010-2014
2013-03-03,0,28,False,2010-2014
2013-03-10,12,32,False,2010-2014
2013-03-17,23,26,False,2010-2014
2013-03-24,0,31,False,2010-2014
2013-03-31,16,32,False,2010-2014
2013-04-07,15,27,False,2010-2014
2013-04-14,17,36,False,2010-2014
2013-04-21,13,30,False,2010-2014
2013-04-28,0,19,False,2010-2014
2013-05-05,0,25,False,2010-2014
2013-05-12,0,19,False,2010-2014
2013-05-19,14,21,False,2010-2014
2013-05-26,14,22,False,2010-2014
2013-06-02,0,21,False,2010-2014
2013-06-09,0,25,False,2010-2014
2013-06-16,0,19,False,2010-2014
2013-06-23,0,43,False,2010-2014
2013-06-30,0,36,False,2010-2014
2013-07-07,11,23,False,2010-2014
2013-07-14,0,22,False,2010-2014
2013-07-21,18,24,False,2010-2014
2013-07-28,0,20,False,2010-2014
2013-08-04,12,26,False,2010-2014
2013-08-11,0,23,False,2010-2014
2013-08-18,0,26,False,2010-2014
2013-08-25,0,23,False,2010-2014
2013-09-01,0,22,False,2010-2014
2013-09-08,0,23,False,2010-2014
2013-09-15,0,20,False,2010-2014
2013-09-22,0,23,False,2010-2014
2013-09-29,0,27,False,2010-2014
2013-10-06,0,18,False,2010-2014
2013-10-13,0,24,False,2010-2014
2013-10-20,0,16,False,2010-2014
2013-10-27,14,17,False,2010-2014
2013-11-03,12,27,False,2010-2014
2013-11-10,0,22,False,2010-2014
2013-11-17,0,23,False,2010-2014
2013-11-24,0,15,False,2010-2014
2013-12-01,0,25,False,2010-2014
2013-12-08,0,28,False,2010-2014
2013-12-15,0,14,False,2010-2014
2013-12-22,17,27,False,2010-2014
2013-12-29,12,35,False,2010-2014
2014-01-05,0,24,False,2010-2014
2014-01-12,0,20,False,2010-2014
2014-01-19,0,24,False,2010-2014
2014-01-26,0,25,False,2010-2014
2014-02-02,0,28,False,2010-2014
2014-02-09,0,38,False,2010-2014
2014-02-16,0,26,False,2010-2014
2014-02-23,0,21,False,2010-2014
2014-03-02,0,18,False,2010-2014
2014-03-09,15,31,False,2010-2014
2014-03-16,0,22,False,2010-2014
2014-03-23,10,27,False,2010-2014
2014-03-30,18,29,False,2010-2014
2014-04-06,15,43,False,2010-2014
2014-04-13,0,37,False,2010-2014
2014-04-20,13,33,False,2010-2014
2014-04-27,11,27,False,2010-2014
2014-05-04,0,23,False,2010-2014
2014-05-11,11,26,False,2010-2014
2014-05-18,0,28,False,2010-2014
2014-05-25,0,30,False,2010-2014
2014-06-01,0,35,False,2010-2014
2014-06-08,0,0,False,2010-2014
2014-06-15,0,32,False,2010-2014
2014-06-22,13,22,False,2010-2014
2014-06-29,15,23,False,2010-2014
2014-07-06,11,30,False,2010-2014
2014-07-13,11,22,False,2010-2014
2014-07-20,16,29,False,2010-2014
2014-07-27,13,26,False,2010-2014
2014-08-03,0,31,False,2010-2014
2014-08-10,12,23,False,2010-2014
2014-08-17,16,24,False,2010-2014
2014-08-24,0,25,False,2010-2014
2014-08-31,0,27,False,2010-2014
2014-09-07,0,24,False,2010-2014
2014-09-14,0,26,False,2010-2014
2014-09-21,13,23,False,2010-2014
2014-09-28,13,23,False,2010-2014
2014-10-05,14,28,False,2010-2014
2014-10-12,11,35,False,2010-2014
2014-10-19,13,37,False,2010-2014
2014-10-26,0,27,False,2010-2014
2014-11-02,12,24,False,2010-2014
2014-11-09,16,25,False,2010-2014
2014-11-16,13,20,False,2010-2014
2014-11-23,0,20,False,2010-2014
2014-11-30,0,21,False,2010-2014
2014-12-07,18,25,False,2010-2014
2014-12-14,0,28,False,2010-2014
2014-12-21,14,28,False,2010-2014
2014-12-28,18,39,False,2010-2014
2014-12-28,35,72,False,2015-2019
2015-01-04,0,34,False,2015-2019
2015-01-11,0,49,False,2015-2019
2015-01-18,0,49,False,2015-2019
2015-01-25,0,53,False,2015-2019
2015-02-01,0,47,False,2015-2019
2015-02-08,0,34,False,2015-2019
2015-02-15,0,52,False,2015-2019
2015-02-22,20,47,False,2015-2019
2015-03-01,0,45,False,2015-2019
2015-03-08,0,47,False,2015-2019
2015-03-15,20,65,False,2015-2019
2015-03-22,26,67,False,2015-2019
2015-03-29,20,63,False,2015-2019
2015-04-05,25,71,False,2015-2019
2015-04-12,33,46,False,2015-2019
2015-04-19,33,47,False,2015-2019
2015-04-26,0,42,False,2015-2019
2015-05-03,25,50,False,2015-2019
2015-05-10,21,51,False,2015-2019
2015-05-17,24,74,False,2015-2019
2015-05-24,0,55,False,2015-2019
2015-05-31,20,65,False,2015-2019
2015-06-07,20,58,False,2015-2019
2015-06-14,24,43,False,2015-2019
2015-06-21,23,63,False,2015-2019
2015-06-28,18,38,False,2015-2019
